fecha,region,canal,categoria,producto,vendedor,unidades,precio_unitario,descuento,total_venta,satisfaccion
2026-01-19,Eje Cafetero,Tienda física,Snacks,Barra de cereal,A. Rojas,21,8900.0,0.0,186900.0,3.3
2025-09-20,Bogotá,E-commerce,Cuidado,Crema corporal,C. Ramírez,17,24100.0,0.05,389215.0,4.6
2025-10-09,Eje Cafetero,Tienda física,Snacks,Chips de plátano,A. Rojas,7,10300.0,0.0,72100.0,4.7
2026-01-02,Santander,Tienda física,Cuidado,Jabón artesanal,D. Mejía,10,19800.0,0.1,178200.0,4.3
2025-09-28,Bogotá,Tienda física,Snacks,Barra de cereal,L. Gómez,5,11500.0,0.1,51750.0,4.5
2026-04-02,Valle del Cauca,E-commerce,Cuidado,Crema corporal,D. Mejía,10,23000.0,0.15,195500.0,3.3
2026-05-28,Atlántico,Distribuidor,Bebidas,Agua saborizada,A. Rojas,13,7400.0,0.0,96200.0,3.7
2026-01-29,Atlántico,Tienda física,Snacks,Barra de cereal,D. Mejía,8,10300.0,0.0,82400.0,4.0
2026-01-14,Valle del Cauca,Marketplace,Bebidas,Agua saborizada,L. Gómez,7,7200.0,0.0,50400.0,4.3
2025-09-09,Eje Cafetero,Distribuidor,Café,Cápsulas x20,D. Mejía,10,29700.0,0.15,252450.0,3.8
2026-02-20,Atlántico,Distribuidor,Bebidas,Té frío 500ml,M. Torres,15,5900.0,0.0,88500.0,4.4
2026-02-26,Bogotá,E-commerce,Cuidado,Crema corporal,J. Peña,17,26400.0,0.1,403920.0,4.7
2026-03-15,Atlántico,Distribuidor,Bebidas,Agua saborizada,M. Torres,11,6200.0,0.0,68200.0,3.1
2026-07-10,Atlántico,E-commerce,Snacks,Mix de frutos secos,M. Torres,7,9600.0,0.0,67200.0,3.7
2026-02-12,Eje Cafetero,Tienda física,Bebidas,Té frío 500ml,D. Mejía,1,7400.0,0.15,6290.0,4.0
2026-02-26,Bogotá,Marketplace,Cuidado,Crema corporal,M. Torres,17,25100.0,0.0,426700.0,2.9
2025-11-21,Bogotá,Distribuidor,Cuidado,Jabón artesanal,C. Ramírez,11,33400.0,0.1,330660.0,4.9
2026-06-17,Antioquia,Marketplace,Café,Café molido 500g,J. Peña,12,26200.0,0.0,314400.0,
2026-04-06,Atlántico,Marketplace,Café,Café molido 500g,J. Peña,7,26200.0,0.15,155890.0,4.4
2026-04-09,Bogotá,E-commerce,Snacks,Chips de plátano,J. Peña,14,14100.0,0.1,177660.0,3.1
2026-05-12,Valle del Cauca,Tienda física,Café,Cápsulas x20,J. Peña,12,27800.0,0.0,333600.0,4.5
2026-05-06,Antioquia,E-commerce,Bebidas,Agua saborizada,,8,7900.0,0.05,60040.0,
2025-11-17,Eje Cafetero,Tienda física,Cuidado,Crema corporal,S. Vargas,26,26100.0,0.0,678600.0,4.1
2026-01-30,Valle del Cauca,Distribuidor,Cuidado,Shampoo sólido,M. Torres,13,17500.0,0.0,227500.0,3.8
2026-01-26,Santander,Tienda física,Snacks,Barra de cereal,D. Mejía,3,9900.0,0.0,29700.0,
2026-02-21,Antioquia,Marketplace,Snacks,Barra de cereal,,15,9900.0,0.0,148500.0,4.6
2026-02-25,Eje Cafetero,Tienda física,Cuidado,Crema corporal,A. Rojas,13,17700.0,0.0,230100.0,
2026-07-08,Santander,Marketplace,Snacks,Chips de plátano,M. Torres,9,9600.0,0.0,86400.0,4.0
2025-10-13,Eje Cafetero,Tienda física,Café,Café molido 500g,D. Mejía,1,28200.0,0.0,28200.0,4.7
2025-08-21,Valle del Cauca,E-commerce,Bebidas,Té frío 500ml,J. Peña,11,7800.0,0.0,85800.0,4.0
2025-10-13,Valle del Cauca,Marketplace,Café,Cápsulas x20,,7,28800.0,0.1,181440.0,4.0
2026-05-02,Antioquia,Tienda física,Café,Café en grano 1kg,M. Torres,3,30600.0,0.0,91800.0,3.1
2026-06-19,Bogotá,Distribuidor,Café,Cápsulas x20,A. Rojas,10,35700.0,0.0,357000.0,2.9
2025-11-12,Bogotá,Marketplace,Bebidas,Té frío 500ml,L. Gómez,6,11400.0,0.0,68400.0,
2026-04-22,Valle del Cauca,Marketplace,Snacks,Chips de plátano,,1,9200.0,0.0,9200.0,4.0
2025-12-17,Antioquia,Marketplace,Snacks,Barra de cereal,J. Peña,13,11300.0,0.05,139555.0,3.0
2025-12-08,Antioquia,Distribuidor,Cuidado,Jabón artesanal,S. Vargas,17,24100.0,0.15,348245.0,
2025-10-19,Atlántico,E-commerce,Bebidas,Té frío 500ml,L. Gómez,1,7800.0,0.0,7800.0,4.7
2025-10-29,Eje Cafetero,Marketplace,Snacks,Mix de frutos secos,J. Peña,21,9000.0,0.0,189000.0,3.0
2026-02-10,Santander,Marketplace,Café,Café en grano 1kg,L. Gómez,13,28300.0,0.0,367900.0,3.5
2026-06-22,Bogotá,Tienda física,Bebidas,Agua saborizada,C. Ramírez,26,9300.0,0.0,241800.0,3.4
2025-08-27,Antioquia,Marketplace,Snacks,Barra de cereal,D. Mejía,12,10000.0,0.15,102000.0,4.9
2026-03-02,Santander,Marketplace,Snacks,Chips de plátano,M. Torres,13,8200.0,0.15,90610.0,3.7
2025-09-13,Eje Cafetero,Tienda física,Bebidas,Té frío 500ml,A. Rojas,11,7200.0,0.0,79200.0,4.7
2025-09-10,Atlántico,Tienda física,Bebidas,Té frío 500ml,A. Rojas,9,7400.0,0.0,66600.0,3.1
2026-05-03,Antioquia,Distribuidor,Snacks,Mix de frutos secos,J. Peña,21,8200.0,0.0,172200.0,4.2
2026-05-05,Atlántico,E-commerce,Snacks,Barra de cereal,C. Ramírez,12,11400.0,0.0,136800.0,2.8
2026-04-22,Atlántico,E-commerce,Snacks,Chips de plátano,S. Vargas,26,11200.0,0.0,291200.0,4.6
2026-03-16,Atlántico,Distribuidor,Cuidado,Shampoo sólido,S. Vargas,6,18700.0,0.15,95370.0,4.2
2026-03-02,Antioquia,Tienda física,Bebidas,Té frío 500ml,J. Peña,1,6000.0,0.15,5100.0,3.7
2025-09-04,Atlántico,Distribuidor,Café,Cápsulas x20,M. Torres,5,25500.0,0.0,127500.0,3.4
2025-08-08,Valle del Cauca,Distribuidor,Bebidas,Jugo natural 1L,M. Torres,7,6200.0,0.0,43400.0,3.6
2025-08-07,Bogotá,Marketplace,Bebidas,Jugo natural 1L,C. Ramírez,12,7800.0,0.0,93600.0,3.4
2025-09-21,Santander,Tienda física,Snacks,Barra de cereal,J. Peña,24,9000.0,0.0,216000.0,4.2
2025-09-19,Eje Cafetero,Marketplace,Snacks,Chips de plátano,S. Vargas,15,9200.0,0.0,138000.0,4.2
2025-10-20,Santander,Marketplace,Café,Cápsulas x20,M. Torres,2,30300.0,0.1,54540.0,4.8
2026-04-22,Santander,E-commerce,Café,Cápsulas x20,L. Gómez,15,32600.0,0.0,489000.0,4.6
2026-05-19,Bogotá,E-commerce,Café,Cápsulas x20,L. Gómez,15,39400.0,0.0,591000.0,
2026-04-21,Santander,Tienda física,Café,Cápsulas x20,M. Torres,13,30900.0,0.0,401700.0,4.4
2025-11-20,Eje Cafetero,Marketplace,Snacks,Chips de plátano,C. Ramírez,6,12400.0,0.05,70680.0,3.9
2026-07-23,Santander,E-commerce,Bebidas,Té frío 500ml,S. Vargas,17,6900.0,0.15,99705.0,3.5
2026-05-24,Atlántico,Tienda física,Snacks,Mix de frutos secos,C. Ramírez,15,9200.0,0.15,117300.0,4.3
2026-07-18,Eje Cafetero,Distribuidor,Cuidado,Crema corporal,M. Torres,6,17700.0,0.1,95580.0,
2025-09-19,Valle del Cauca,Marketplace,Cuidado,Jabón artesanal,L. Gómez,15,17500.0,0.1,236250.0,5.0
2026-02-21,Bogotá,Tienda física,Snacks,Mix de frutos secos,A. Rojas,19,12800.0,0.0,243200.0,4.6
2026-04-24,Eje Cafetero,Distribuidor,Bebidas,Té frío 500ml,L. Gómez,20,6200.0,0.05,117800.0,2.9
2025-08-08,Atlántico,Marketplace,Cuidado,Shampoo sólido,C. Ramírez,12,18700.0,0.0,224400.0,4.6
2025-08-07,Atlántico,Tienda física,Bebidas,Jugo natural 1L,S. Vargas,17,7400.0,0.0,125800.0,2.8
2026-01-02,Bogotá,Marketplace,Bebidas,Jugo natural 1L,D. Mejía,3,7500.0,0.05,21375.0,3.4
2025-08-31,Bogotá,Distribuidor,Bebidas,Té frío 500ml,M. Torres,23,8600.0,0.0,197800.0,4.9
2026-03-18,Valle del Cauca,Marketplace,Bebidas,Té frío 500ml,A. Rojas,23,6900.0,0.1,142830.0,3.2
